homelat,homelon,n
26.3351,17.228331,4879
0.0,0.0,712
11.8037,-15.1804,2032
17.570692,-3.996166000000001,2552
17.357822,-62.782998,17
-22.3285,24.6849,804
-3.3731,29.9189,400
8.460555000000001,-11.779889,1877
21.9162,95.956,357
-13.254307999999998,34.301525,4491
6.8770000000000024,31.307,2450
24.2155,-12.8858,10
0.18636,6.613081,878
0.0,0.0,9
15.552726999999999,48.516388,1768
-11.6455,43.3333,396
38.861034000000004,71.276093,7665
-29.609988,28.233608,742
